Year;Lesotho;Eswatini;South Africa ;Namibia
2009;3.03623498;5.869101756;5.936110059;
2010;3.034447787;7.807413525;5.79213812;1.964727283
2011;2.095189882;3.52727008;4.680856038;1.486349269
2012;2.466293883;10.6707565;4.042891794;1.337351636
2013;3.662645045;6.793422406;3.641286725;1.285561383
2014;3.810531977;6.870687906;3.244846693;1.453340824
2015;3.913364061;6.630271672;3.121685643;1.551695434
2016;3.694411877;9.621050685;2.857807896;1.544549224
2017;4.416400172;7.916834517;2.842000044;2.585572598
2018;3.660464914;9.315518663;3.728020835;3.579172902
2019;;;;4.564924858
